animal,tratamento,linhagem,sessao,ordem,Npepara1,Ndei1,Npemov1,Ncnor1,Ncalta1,Ncbaixa1,Ncoutra1,Ncgrup1,Ncobs1,Ncpar1,Ncsol1,Nolev1,Noneu1,Notras1,Noass1,Nonvis1,Ncdnmov1,Ncdmov1,Nncome1,Ncome1,Nrum1,Ncdbai1,Ncdalta1,Ncdpern1,Npepara2,Ndei2,Npemov2,Ncnor2,Ncalta2,Ncbaixa2,Ncoutra2,Ncgrup2,Ncobs2,Ncpar2,Ncsol2,Nolev2,Noneu2,Notras2,Noass2,Nonvis2,Ncdnmov2,Ncdmov2,Nncome2,Ncome2,Nrum2,Ncdbai2,Ncdalta2,Ncdpern2,Npepara3,Ndei3,Npemov3,Ncnor3,Ncalta3,Ncbaixa3,Ncoutra3,Ncgrup3,Ncobs3,Ncpar3,Ncsol3,Nolev3,Noneu3,Notras3,Noass3,Ncdnmov3,Ncdmov3,Nncome3,Ncome3,Nrum3,Ncdbai3,Ncdalta3,Ncdpern3,Ncpern3
229,1,2,1,1,0,1,0,1,1,0,3,0,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0,4,1,0,1,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,1,0,4,1,4,2,2,3,4,0,4,0,1,0,1,0,0,1,0,0
504,1,2,1,2,1,0,0,4,3,1,4,5,7,5,3,5,5,0,5,0,2,1,1,0,0,1,0,0,3,1,2,4,1,2,8,2,4,3,2,3,4,0,5,0,2,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5,0,4,0,1,0,0,0,1,1,0,0
323,1,2,1,3,1,0,0,3,1,2,6,2,7,2,1,8,2,0,7,0,1,0,1,0,0,1,0,0,2,0,1,7,4,2,8,7,7,6,2,7,5,0,4,0,7,6,1,0,0,1,0,0,5,0,4,6,0,5,9,4,7,3,4,7,9,0,7,0,3,2,1,0,0,1,0,0
384,1,2,1,4,1,0,0,2,0,1,4,1,5,3,1,3,0,0,2,0,3,2,1,0,0,1,0,0,1,0,0,2,1,1,7,6,4,4,1,3,3,0,1,0,2,1,1,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,1,1,0,0
273,2,1,1,5,1,0,0,4,2,1,3,2,4,2,0,3,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,3,1,1,1,0,1,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,2,1,0,2,0,0,0,0,2,0,0,1,0,2,1,1,0,0,1,0,0
303,2,1,1,7,1,0,0,3,3,0,5,5,4,5,1,6,4,0,7,0,4,3,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,2,1,0,2,0,2,1,1,0,1,1,0,0
548,2,1,1,8,2,0,1,6,3,4,6,5,8,4,3,4,3,0,4,0,2,1,2,0,1,1,0,0,1,0,0,2,2,0,2,1,0,0,0,3,1,0,1,0,5,4,1,0,0,4,3,0,5,0,4,9,4,4,5,6,8,10,4,11,7,0,13,0,2,1,1,0,0,1,0,0
192,2,1,1,9,1,0,0,5,2,2,4,9,13,7,1,5,1,0,4,0,1,0,1,0,0,1,0,0,1,0,0,3,2,1,6,8,4,7,1,7,2,0,8,0,1,0,1,0,0,1,0,0,4,0,3,3,1,2,5,16,12,9,1,6,8,1,6,0,2,1,1,0,0,2,0,0
74,2,1,1,10,1,0,0,6,3,2,6,3,6,4,1,3,1,0,1,0,3,2,1,0,1,2,1,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,5,4,0,0,1,5,4,0,1,0,0,2,0,1,3,0,2,1,1,2,2,0,1,0,4,3,0,0,1,1,0,0
502,2,1,1,11,1,0,0,5,2,3,7,4,2,4,2,4,5,1,0,3,3,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,7,6,1,0,0,7,6,0,1,0,0,2,0,1,4,0,1,3,1,2,0,0,2,0,2,1,1,0,0,1,0,0
140,2,1,1,12,2,0,1,4,2,1,4,0,2,5,1,3,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,4,3,1,0,0,4,3,0,3,1,2,4,2,2,2,1,3,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0
219,2,1,1,13,2,0,1,5,4,0,2,4,8,7,0,7,4,0,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,0,4,0,11,12,1,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,7,7,1,0,0,1,0,0
354,2,1,1,14,2,0,1,2,1,1,1,3,3,2,0,4,1,0,2,0,2,1,1,0,0,1,0,0,2,0,1,1,0,0,2,1,2,0,0,4,1,1,3,0,21,20,1,0,0,15,13,0,1,0,0,4,0,3,4,6,4,3,1,5,2,0,4,0,2,1,1,0,0,1,0,0
297,2,1,1,15,1,0,0,2,2,0,4,3,3,4,0,7,4,0,7,0,4,4,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,7,6,1,0,0,5,4,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,0
531,2,1,1,16,9,0,8,12,6,6,0,14,5,10,4,21,5,8,21,0,6,5,1,0,0,3,2,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,2,0,19,18,1,0,0,17,17,0,2,0,1,1,0,0,2,2,4,1,0,3,1,0,2,0,8,7,1,0,0,8,7,0
157,1,2,1,17,1,0,0,4,2,1,3,3,2,5,1,4,6,0,2,0,3,2,1,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,2,5,0,4,0,3,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6,0,7,0,3,2,1,0,0,1,0,0
540,1,2,1,18,1,0,0,4,3,2,3,1,6,7,1,7,10,0,5,0,3,2,1,0,0,1,0,0,2,0,1,2,1,0,4,2,6,5,0,4,5,1,3,0,4,3,1,0,0,1,0,0,2,0,1,2,1,1,3,0,2,3,1,3,4,0,4,0,3,2,1,0,0,1,0,0
454,1,2,1,19,2,0,1,6,4,1,2,10,11,11,1,7,3,0,8,0,2,1,1,0,0,1,0,0,2,0,1,4,1,3,10,5,2,9,3,12,6,5,13,0,1,0,1,0,0,1,0,0,3,0,2,5,2,3,6,9,14,14,3,4,2,1,4,0,1,0,1,0,0,1,0,0
319,1,2,1,20,1,0,0,3,3,0,3,0,2,3,0,2,1,0,1,0,4,3,1,0,0,1,0,0,1,0,1,6,2,4,5,2,8,8,2,3,0,0,3,0,4,3,1,0,0,1,0,0,3,1,2,4,1,2,7,3,7,9,3,2,0,0,1,0,1,0,1,0,0,1,0,0
408,1,1,1,1,1,0,0,1,1,0,4,2,2,0,0,3,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,0,5,1,3,1,0,3,7,0,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,1,1,0,1,2,0,0,0,1,0,1,0,0,1,0,0
302,1,1,1,2,1,0,0,4,3,0,3,0,5,3,0,4,0,0,4,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,2,0,1,0,0,3,0,0,2,0,2,1,1,0,1,1,0,0,1,0,0,3,0,2,3,7,4,2,1,3,0,0,2,0,2,1,1,0,2,1,0,0
231,1,1,1,4,1,0,0,0,1,0,2,0,3,2,0,2,1,0,0,0,2,1,1,0,0,1,0,0,2,0,1,4,4,0,1,7,6,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,1,1,3,5,7,2,0,1,0,0,0,0,2,1,1,0,0,1,0,0
141,1,1,1,5,2,0,1,6,6,1,3,1,11,10,1,2,0,1,0,0,2,1,1,0,0,1,0,0,3,0,2,6,4,2,5,11,13,7,2,4,2,1,2,0,2,1,1,0,0,1,0,0,3,0,1,8,6,1,3,12,12,11,1,8,4,2,5,0,3,2,1,0,0,1,0,0
998,1,1,1,6,1,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,4,3,1,0,0,1,0,0,1,0,0,3,3,1,6,2,4,0,1,3,4,1,2,0,3,2,1,0,0,1,0,0,2,0,1,2,2,0,2,0,1,0,0,1,4,0,2,0,3,2,1,0,0,1,0,0
517,2,2,1,7,2,0,1,2,1,0,2,2,5,2,0,5,3,2,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,2,0,0,0,19,19,1,0,0,21,21,0,2,0,1,3,1,1,3,2,6,3,1,4,4,0,0,0,5,4,1,1,0,1,0,0
365,2,2,1,8,1,0,0,2,1,1,3,2,5,2,1,4,5,1,6,0,1,0,1,1,1,1,0,0,2,1,1,4,1,2,6,2,4,0,0,1,4,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,3,1,5,0,0,2,4,0,2,0,1,0,0,0,1,1,0,0
389,2,2,1,9,1,0,0,8,6,0,5,4,8,7,0,3,6,3,4,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,6,5,1,0,1,9,8,0,1,0,0,3,3,0,6,1,4,2,0,6,7,1,8,0,2,1,0,0,1,1,0,0
263,2,2,1,10,3,0,2,6,1,5,3,4,7,3,6,4,9,2,11,0,3,2,3,3,0,1,0,0,1,0,0,2,0,1,4,0,4,0,0,8,8,0,7,0,23,22,1,0,0,8,7,0,2,1,1,7,2,4,3,1,2,1,1,0,2,0,1,0,1,0,1,0,1,1,0,0
372,2,2,1,11,2,0,1,4,2,1,4,2,2,3,1,5,6,1,6,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,2,0,0,5,4,0,0,1,5,4,0,6,1,5,7,1,5,8,7,3,4,2,9,9,2,6,0,1,1,0,0,1,1,0,0
109,2,2,1,12,2,0,1,10,7,2,9,3,8,2,0,10,12,5,14,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,10,9,0,0,1,7,6,0,0,1,0,1,0,0,4,0,3,0,0,4,3,0,2,0,2,2,0,0,1,1,0,0
318,2,2,1,13,2,1,1,5,3,1,4,3,11,3,1,7,5,0,8,0,6,5,1,0,0,2,1,0,0,1,0,4,3,0,0,0,1,0,0,1,2,0,1,0,4,3,1,0,1,1,0,0,0,1,0,5,5,0,0,1,2,0,0,5,4,0,1,0,1,0,1,0,1,1,0,0
519,2,2,1,14,2,0,1,6,4,2,3,0,2,1,0,2,1,0,1,0,7,6,1,0,0,6,5,0,1,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,21,20,1,0,0,21,20,0,0,1,0,1,1,0,1,0,0,0,0,0,2,2,3,0,1,0,1,0,0,1,0,0
433,2,2,1,15,2,0,1,4,4,0,4,0,3,0,0,3,5,1,4,0,3,2,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,4,1,0,0,4,3,0,0,1,1,0,0,3,0,2,7,3,3,8,4,6,3,2,10,8,2,4,0,3,2,1,0,0,1,0,0
203,1,1,1,16,1,0,0,7,2,5,5,1,9,6,3,7,5,0,1,0,3,2,1,0,0,1,0,0,2,1,1,3,0,3,4,1,3,0,5,3,3,0,2,6,1,0,1,0,1,1,0,0,0,1,0,2,1,0,2,3,0,0,0,3,4,0,1,0,1,0,0,0,1,1,0,0
511,1,1,1,17,2,1,1,5,1,4,6,0,6,3,3,4,3,0,3,1,2,1,1,0,0,1,0,0,0,1,0,10,9,0,5,5,6,0,0,6,1,1,4,3,1,0,1,0,0,1,0,0,0,1,0,5,3,1,4,6,6,0,0,4,3,0,1,0,2,1,1,0,0,1,0,0
324,1,1,1,18,1,0,0,2,0,2,6,0,5,0,0,6,2,0,7,0,3,2,1,0,1,1,0,0,1,1,0,2,0,1,1,0,0,0,0,4,6,0,3,0,1,0,1,0,0,1,0,0,0,1,0,2,0,1,1,0,1,0,0,5,2,0,4,0,1,0,1,0,0,1,0,0
135,1,1,1,19,2,0,1,5,2,3,8,3,7,1,0,5,5,0,3,0,3,2,1,0,0,1,0,0,1,0,0,5,1,4,4,1,3,0,0,7,4,0,5,0,3,2,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,2,1,0,0,1,1,0,0
289,1,1,1,20,1,0,0,1,0,0,2,1,3,0,0,2,2,0,1,0,4,3,1,0,1,2,1,0,1,0,0,2,1,0,2,0,1,0,0,2,3,0,1,0,6,5,0,0,1,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,5,4,0,0,1,3,2,0
303,2,1,2,1,2,0,1,3,2,0,4,3,8,9,0,7,2,1,9,0,3,2,1,0,0,1,0,0,1,0,0,2,2,0,2,1,0,0,0,3,3,0,4,0,1,0,1,0,0,1,0,0,1,0,0,3,3,0,4,5,2,2,0,4,1,0,5,0,1,0,1,0,0,1,0,0
502,2,1,2,2,1,0,0,2,2,0,3,1,4,4,0,2,0,0,1,0,2,1,1,0,1,1,0,0,2,0,1,3,1,2,2,1,1,0,0,4,0,0,4,0,2,1,0,0,1,1,0,0,1,0,0,4,2,2,3,4,3,2,3,5,2,0,3,0,4,3,0,0,1,1,0,0
192,2,1,2,3,1,0,0,2,3,0,1,9,8,8,0,4,2,0,7,0,2,1,1,0,0,1,0,0,2,0,1,3,2,1,3,0,2,0,0,3,0,0,2,0,2,1,1,0,0,1,0,0,1,0,0,10,8,1,5,8,9,10,0,2,2,0,2,0,1,0,2,0,1,1,0,0
74,2,1,2,4,1,0,0,4,3,0,3,6,8,5,0,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,5,4,1,0,0,1,0,0,1,0,0,5,1,3,7,2,8,2,3,2,0,0,1,0,1,0,1,0,0,1,0,0
273,2,1,2,5,3,0,2,4,2,1,8,0,5,1,1,2,0,0,3,0,3,2,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,3,2,0,0,1,1,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
548,2,1,2,6,5,0,4,11,6,6,5,5,16,15,5,12,2,2,14,0,2,1,1,0,0,2,1,0,2,0,1,3,1,1,3,0,3,0,0,2,1,0,3,0,5,4,1,0,0,5,4,0,4,0,3,8,2,6,5,9,11,7,6,7,1,0,6,0,2,1,2,1,1,1,0,0
263,2,2,2,7,2,0,1,8,1,6,5,0,7,5,5,5,1,0,7,0,3,2,2,1,1,1,0,0,2,0,1,2,0,2,4,0,3,0,2,3,2,0,5,2,20,20,1,0,0,6,5,0,1,0,0,4,0,4,3,0,4,2,4,3,3,0,6,2,6,5,2,2,1,4,3,0
389,2,2,2,8,1,0,0,3,3,0,6,0,5,1,0,7,5,0,7,0,2,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,3,5,6,0,6,5,0,0,1,3,2,0,2,0,1,2,1,0,5,1,2,1,0,5,1,0,7,0,3,2,0,0,1,1,0,0
365,2,2,2,9,1,0,0,2,1,0,6,0,7,4,0,5,3,3,11,0,2,1,1,0,0,1,0,0,1,0,0,1,1,0,3,0,1,1,0,3,0,2,4,0,4,3,1,0,1,1,0,0,3,0,2,2,1,0,9,6,10,3,0,7,7,1,14,0,1,0,0,0,1,1,0,0
517,2,2,2,10,2,1,1,3,1,1,1,0,2,0,1,4,2,1,6,0,3,2,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,22,21,1,0,1,1,0,0,0,1,0,1,0,0,6,0,5,0,0,2,2,0,2,0,1,0,1,0,0,1,0,0
219,2,1,2,11,2,0,1,4,2,1,6,1,5,6,1,3,0,0,2,0,1,0,0,0,1,3,2,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,17,17,0,0,1,2,1,0,1,0,0,2,0,1,5,1,5,2,0,2,1,0,1,0,2,1,0,0,1,1,0,0
354,2,1,2,12,1,0,0,1,0,0,4,4,3,6,0,6,1,0,5,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,14,13,1,0,0,13,12,0,2,0,1,3,2,0,6,2,5,4,0,3,0,0,2,0,3,2,2,1,1,1,0,0
297,2,1,2,13,1,0,0,3,2,0,3,2,1,2,0,6,0,0,6,0,3,2,1,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,2,0,3,0,7,6,0,0,1,6,5,0,1,0,0,5,4,1,6,0,3,2,0,2,2,1,4,0,3,2,0,0,1,1,0,0
531,2,1,2,14,1,0,0,1,0,1,1,1,0,0,1,0,0,1,3,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,32,32,1,0,0,30,30,0,0,1,0,2,2,0,1,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0
140,2,1,2,15,2,0,1,3,1,1,2,4,11,9,4,4,0,0,3,0,5,4,1,0,1,1,1,0,1,0,0,3,0,2,2,0,2,0,1,2,0,0,1,0,8,8,1,0,0,6,6,0,2,1,1,2,0,1,2,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0
519,2,2,2,16,1,0,0,2,2,0,4,1,2,1,0,2,1,0,3,0,4,3,1,0,0,3,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,17,16,1,0,0,17,16,0,2,0,1,2,0,2,5,4,3,6,2,3,0,0,3,0,3,2,1,0,0,3,2,0
433,2,2,2,17,4,1,3,3,1,2,3,1,4,1,2,3,0,0,3,0,4,3,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,2,1,0,2,0,1,0,0,1,1,0,3,0,2,1,0,0,1,1,0,0
372,2,2,2,18,3,1,2,5,2,2,5,1,4,2,3,3,1,0,3,0,2,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,3,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
318,2,2,2,19,1,0,0,5,4,1,5,4,12,14,1,14,3,1,11,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,22,21,1,0,0,19,18,0,2,0,1,5,3,2,3,3,9,10,2,11,4,1,9,0,3,2,1,0,0,1,0,0
109,2,2,2,20,2,1,1,4,1,3,3,0,3,1,0,3,0,0,3,0,5,4,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,13,12,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1,0,4,3,0,0,1,1,0,0
192,2,1,3,1,3,0,2,9,6,2,1,6,10,8,1,9,0,1,8,0,1,0,1,0,0,1,0,0,1,0,0,2,2,0,3,1,2,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,3,3,0,3,5,7,3,0,5,5,0,3,0,2,1,1,0,0,1,0,0
273,2,1,3,2,1,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,2,0,1,3,0,2,6,1,5,0,0,1,3,1,4,0,2,1,0,0,1,1,0,0
548,2,1,3,3,6,0,5,9,6,4,1,8,13,19,7,8,0,3,7,0,1,0,1,0,0,1,0,0,1,0,0,4,3,0,2,2,5,2,0,1,0,0,0,0,4,3,1,0,0,4,3,0,6,0,6,10,6,3,0,8,16,20,3,12,1,1,12,0,5,4,1,0,0,1,0,0
502,2,1,3,4,1,0,0,0,1,0,3,3,0,0,0,1,3,0,4,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,1,0,0,2,1,0,1,0,0,3,0,2,3,5,2,2,1,4,1,0,4,0,1,0,1,0,0,1,0,0
74,2,1,3,5,1,0,0,5,4,0,4,1,5,1,0,7,0,0,6,0,4,3,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,7,6,0,0,1,1,0,0,1,0,0,2,1,0,4,0,4,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0
303,2,1,3,6,1,0,0,2,1,0,4,2,7,5,0,2,1,1,3,0,2,1,1,0,0,1,0,0,1,0,0,2,3,0,2,0,1,0,0,2,1,0,3,0,2,1,1,0,0,1,0,0,1,0,0,2,3,0,2,5,9,8,0,6,0,0,5,0,1,0,1,0,0,1,0,0
389,2,2,3,7,2,0,1,3,2,0,4,2,3,4,0,8,3,1,12,0,4,3,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,5,4,1,0,0,6,6,1,1,0,0,2,2,1,1,4,8,4,1,13,0,4,15,0,3,2,1,0,0,1,0,0
263,2,2,3,8,2,0,1,5,1,4,4,2,3,1,2,4,2,2,7,0,3,2,2,2,1,2,1,0,1,0,0,2,1,2,2,1,2,0,1,2,0,0,2,0,14,14,1,0,0,5,5,0,2,0,1,3,0,4,0,3,2,1,3,5,1,0,4,0,1,0,2,2,0,1,0,0
517,2,2,3,9,1,0,0,1,0,0,1,0,0,0,0,4,0,0,4,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,15,14,1,0,0,15,14,0,2,1,1,2,0,1,2,4,2,0,2,2,0,0,2,0,2,1,1,0,0,1,0,0
365,2,2,3,10,1,0,0,4,2,1,2,0,3,4,2,6,1,1,9,0,1,0,1,0,0,1,0,0,2,0,1,1,0,1,4,1,2,0,1,3,4,0,6,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,2,0,1,0,1,0,0,1,0,0
354,2,1,3,11,1,0,0,2,1,0,4,2,8,2,0,4,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,2,0,0,1,0,16,15,1,0,0,13,12,0,1,0,0,3,1,1,2,1,2,2,0,1,0,0,0,0,2,1,1,0,0,1,0,0
140,2,1,3,12,3,1,2,3,1,2,2,1,2,0,2,2,0,0,2,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6,5,0,0,1,5,4,0,5,1,4,3,0,2,3,0,1,0,3,1,0,0,1,0,1,0,0,0,1,1,0,0
531,2,1,3,13,1,0,0,2,1,0,1,0,0,0,0,0,0,1,2,0,3,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,31,30,1,0,1,21,20,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
219,2,1,3,14,2,0,1,4,1,2,7,1,8,2,2,5,0,0,4,0,6,5,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,3,0,16,16,0,0,1,3,2,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,10,9,0,0,1,1,0,0
297,2,1,3,15,2,0,1,4,4,1,2,2,6,6,1,8,3,0,7,0,5,4,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,6,5,1,0,0,4,3,0,2,0,1,7,1,5,7,6,11,8,2,7,1,0,6,0,4,3,1,0,0,1,0,0
318,2,2,3,16,1,0,0,2,1,1,3,4,6,3,1,5,1,0,5,0,2,1,1,0,0,1,0,0,1,0,0,1,1,0,2,0,2,0,0,1,0,0,0,0,24,24,1,0,1,17,17,0,3,0,2,4,2,1,3,0,5,1,0,2,0,0,1,0,4,3,1,0,0,1,0,0
372,2,2,3,17,2,0,1,3,2,0,5,5,6,2,0,5,2,0,4,0,2,1,0,0,1,1,0,0,1,0,0,1,0,0,3,0,3,0,0,3,0,0,2,0,7,6,0,0,1,7,6,0,5,1,4,5,2,2,3,1,2,0,1,3,0,0,2,0,1,0,0,0,1,1,0,0
433,2,2,3,18,2,1,1,2,0,1,4,1,3,2,1,2,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,2,1,0,2,0,2,0,0,2,0,0,2,0,1,0,0,0,1,1,0,0
109,2,2,3,19,2,1,1,3,1,2,2,0,1,1,1,3,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,3,0,0,1,1,0,0,0,1,0,1,0,0,3,2,3,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
519,2,2,3,20,3,0,2,7,5,1,9,5,6,1,0,7,0,4,5,0,4,3,1,0,0,4,3,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,2,0,15,14,1,0,0,19,18,0,3,0,2,1,0,2,4,3,4,1,3,1,0,0,0,0,6,5,2,1,0,6,5,0
